polarity,subjectivity,clouds,dew_point,feels_like,humidity,pressure,temp,visibility,wind_deg,wind_speed,,
-0.075,0.05,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.1,0.6,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
-0.4,0.6,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.3125,0.3,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.8,0.7,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
-0.6,1,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.675,0.85,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.466666667,0.733333333,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.9765625,0.6,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
-0.1,0.070833333,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.8,1,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.136363636,0.454545455,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.285714286,0.535714286,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.429166667,0.545833333,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
-0.275,0.575,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.170454545,0.5,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.136363636,0.5,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.5,0.6,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.0625,0.3125,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.4,0.9,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.125,0.2,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.068181818,0.4375,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.375,0.875,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.208333333,0.508333333,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0.066666667,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
-0.246875,0.55,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.5,0.6,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.6,1,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.4,0.5,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
-0.36,0.66,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.25,0.333333333,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.625,1,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.2,0.3,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.4,0.4,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0.25,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.3,0.65,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
-0.2,0.8,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.5,0.9,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.136363636,0.454545455,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1625173200,25.7617,1016,28.62,138,5.02,,,,,,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
-0.15,0.4,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.191666667,0.783333333,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.05,0.65,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.2,0.3,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.375,0.75,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.5,0.6,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
-0.75,0.75,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0.125,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.35,0.65,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.416666667,0.55,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.233333333,0.266666667,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
-1,1,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.136363636,0.454545455,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.566666667,0.55,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.0375,0.75,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
-0.05,0.4,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.1,0.4,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
1,0.3,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
-0.054166667,0.45,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.3,0.75,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
-0.5,1,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.6,1,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
-0.1,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.5,1,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.133333333,0.733333333,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.15,0.65,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0.5,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
-0.5,1,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
-0.294444444,0.827777778,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0.8,0.75,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
-0.5,0.9,40,23.53,30.64,74,1016,28.62,16093,138,5.02,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.236111111,0.555555556,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.266666667,0.666666667,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
-0.125,0.375,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.7,0.6,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.6875,0.75,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.5,0.6,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.016666667,0.566666667,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
-0.8,0.9,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.357142857,0.571428571,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.3,0.2,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.4,0.5,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.285714286,0.535714286,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.3,0.7,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.568181818,0.377272727,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.45,0.483333333,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0.1,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
-1,0.7,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.335227273,0.65,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0.4,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.22,0.346666667,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.7,0.6,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.433333333,0.6,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0.6,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
