polarity,subjectivity,clouds,dew_point,feels_like,humidity,pressure,temp,visibility,wind_deg,wind_speed,,,
0.8,1,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
-0.554545455,0.784848485,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0.2,0.5,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0.7,0.7,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0,0,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0,0,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0.7,0.6,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0.1,0.4,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0.533333333,0.766666667,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0.204166667,0.570833333,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
0.133333333,0.666666667,75,14.71,15.38,94,1017,15.67,3000,110,2.57,,,
